Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee By Mail - 1,20
Absentee by Mail,ICC-Absentee By Mail - 2,26
Absentee by Mail,ICC-Absentee By Mail - 3,15
Absentee by Mail,ICC-Absentee By Mail - 4,21
Absentee by Mail,ICC-Absentee By Mail - 5,12
Absentee by Mail,ICC-Absentee By Mail - 6,5
Advanced Voting,AV-Courthouse ICP 1 - 0,1271
Election Day,ED-North Jenkins Co VFD ICP 1 - 0,230
Election Day,ED-South Jenkins Co VFD ICP 1 - 0,343
Election Day,ED-Primary School-Courthouse-Senior Citizens Center ICP 1 - 0,581
