Container,Batch Name,Number of Ballots
Absentee by Mail,ICC 1 - Absentee By Mail - 1,25
Absentee by Mail,ICC 1 - Absentee By Mail - 2,25
Absentee by Mail,ICC 1 - Absentee By Mail - 3,25
Absentee by Mail,ICC 1 - Absentee By Mail - 4,25
Absentee by Mail,ICC 1 - Absentee By Mail - 5,25
Absentee by Mail,ICC 1 - Absentee By Mail - 6,25
Absentee by Mail,ICC 1 - Absentee By Mail - 7,25
Absentee by Mail,ICC 1 - Absentee By Mail - 8,25
Absentee by Mail,ICC 1 - Absentee By Mail - 9,25
Absentee by Mail,ICC 1 - Absentee By Mail - 10,25
Absentee by Mail,ICC 1 - Absentee By Mail - 11,37
Absentee by Mail,ICC 1 - Absentee By Mail - 12,25
Absentee by Mail,ICC 1 - Absentee By Mail - 13,25
Absentee by Mail,ICC 1 - Absentee By Mail - 14,6
Absentee by Mail,ICC 1 - Absentee By Mail - 15,25
Absentee by Mail,ICC 1 - Absentee By Mail - 16,25
Absentee by Mail,ICC 1 - Absentee By Mail - 17,25
Absentee by Mail,ICC 1 - Absentee By Mail - 18,25
Absentee by Mail,ICC 1 - Absentee By Mail - 19,25
Absentee by Mail,ICC 1 - Absentee By Mail - 20,25
Absentee by Mail,ICC 1 - Absentee By Mail - 21,25
Absentee by Mail,ICC 1 - Absentee By Mail - 22,25
Absentee by Mail,ICC 1 - Absentee By Mail - 23,25
Absentee by Mail,ICC 1 - Absentee By Mail - 24,25
Absentee by Mail,ICC 1 - Absentee By Mail - 25,25
Absentee by Mail,ICC 1 - Absentee By Mail - 26,25
Absentee by Mail,ICC 1 - Absentee By Mail - 27,25
Absentee by Mail,ICC 1 - Absentee By Mail - 28,25
Absentee by Mail,ICC 1 - Absentee By Mail - 29,25
Absentee by Mail,ICC 1 - Absentee By Mail - 30,25
Absentee by Mail,ICC 1 - Absentee By Mail - 31,25
Absentee by Mail,ICC 1 - Absentee By Mail - 32,25
Absentee by Mail,ICC 1 - Absentee By Mail - 33,25
Absentee by Mail,ICC 1 - Absentee By Mail - 34,25
Absentee by Mail,ICC 1 - Absentee By Mail - 35,25
Absentee by Mail,ICC 1 - Absentee By Mail - 36,25
Absentee by Mail,ICC 1 - Absentee By Mail - 37,25
Absentee by Mail,ICC 1 - Absentee By Mail - 38,25
Absentee by Mail,ICC 1 - Absentee By Mail - 39,25
Absentee by Mail,ICC 1 - Absentee By Mail - 40,25
Absentee by Mail,ICC 1 - Absentee By Mail - 41,25
Absentee by Mail,ICC 1 - Absentee By Mail - 42,25
Absentee by Mail,ICC 1 - Absentee By Mail - 43,24
Absentee by Mail,ICC 1 - Absentee By Mail - 44,25
Absentee by Mail,ICC 1 - Absentee By Mail - 45,25
Absentee by Mail,ICC 1 - Absentee By Mail - 46,25
Absentee by Mail,ICC 1 - Absentee By Mail - 47,25
Absentee by Mail,ICC 1 - Absentee By Mail - 48,25
Absentee by Mail,ICC 1 - Absentee By Mail - 49,25
Absentee by Mail,ICC 1 - Absentee By Mail - 50,25
Absentee by Mail,ICC 1 - Absentee By Mail - 51,25
Absentee by Mail,ICC 1 - Absentee By Mail - 52,25
Absentee by Mail,ICC 1 - Absentee By Mail - 53,9
Absentee by Mail,ICC 1 - Absentee By Mail - 54,25
Absentee by Mail,ICC 1 - Absentee By Mail - 55,25
Absentee by Mail,ICC 1 - Absentee By Mail - 56,25
Absentee by Mail,ICC 1 - Absentee By Mail - 57,25
Absentee by Mail,ICC 1 - Absentee By Mail - 58,24
Absentee by Mail,ICC 1 - Absentee By Mail - 59,23
Absentee by Mail,ICC 1 - Absentee By Mail - 60,23
Absentee by Mail,ICC 1 - Absentee By Mail - 61,24
Absentee by Mail,ICC 1 - Absentee By Mail - 62,23
Absentee by Mail,ICC 1 - Absentee By Mail - 63,23
Absentee by Mail,ICC 1 - Absentee By Mail - 64,25
Absentee by Mail,ICC 1 - Absentee By Mail - 65,25
