Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 1,50
Absentee by Mail,ICC - Absentee By Mail - 2,50
Absentee by Mail,ICC - Absentee By Mail - 3,50
Absentee by Mail,ICC - Absentee By Mail - 4,50
Absentee by Mail,ICC - Absentee By Mail - 5,50
Absentee by Mail,ICC - Absentee By Mail - 6,50
Absentee by Mail,ICC - Absentee By Mail - 7,50
Absentee by Mail,ICC - Absentee By Mail - 8,50
Absentee by Mail,ICC - Absentee By Mail - 9,49
Absentee by Mail,ICC - Absentee By Mail - 10,50
Absentee by Mail,ICC - Absentee By Mail - 11,50
Absentee by Mail,ICC - Absentee By Mail - 12,50
Absentee by Mail,ICC - Absentee By Mail - 13,50
Absentee by Mail,ICC - Absentee By Mail - 14,39
Absentee by Mail,ICC - Absentee By Mail - 15,50
Absentee by Mail,ICC - Absentee By Mail - 16,50
Absentee by Mail,ICC - Absentee By Mail - 17,9
Absentee by Mail,ICC - Absentee By Mail - 18,13
Advanced Voting,AV-Elections Office ICP 1 - 0,3963
Election Day,ED-Mobile ICP 1 - 0,439
Election Day,ED-Morganton ICP 1 - 0,712
Election Day,ED-Skeniah ICP 1 - 0,142
Election Day,ED-Noontootla ICP 1 - 0,349
Election Day,ED-Hemptown ICP 1 - 0,515
Election Day,ED-Flinthill ICP 1 - 0,988
Election Day,ED-Hothouse ICP 1 - 0,384
Election Day,ED-Toccoa ICP 1 - 0,821
Election Day,ED-Fairplay ICP 1 - 0,401
Election Day,ED-Mineral Bluff ICP 1 - 0,606
Election Day,ED-Sugar Creek ICP 1 - 0,598
Election Day,ED-Colwell ICP 1 - 0,432
Absentee by Mail,ICC - Absentee By Mail - 19,2
Provisional,ICC - Provisional - 1,9
