Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,25
Absentee by Mail,Absentee By Mail ICC - 2,25
Absentee by Mail,Absentee By Mail ICC - 3,25
Absentee by Mail,Absentee By Mail ICC - 4,15
Advance Voting,AV-Elections Office ICP 1 - 0,549
Election Day,ED-Anna ICP 1 - 0,124
Election Day,ED-Hoggards Mill ICP 1 - 0,107
Election Day,ED-Newton ICP 1 - 0,75
Election Day,ED-Elmodel ICP 1 - 0,65
Election Day,ED-Milford ICP 1 - 0,123
Absentee by Mail,Absentee By Mail ICC - 5,1
Provisional,Provisional ICC - 1,1
