Container,Batch Name,Number of Ballots
Advanced Voting,AV-Midway Park Comm Bldg ICP 3 - 0,2661
Advanced Voting,AV-Midway Park Comm Bldg ICP 1 - 0,4220
Advanced Voting,AV-Elections Office ICP 2 - 0,4946
Advanced Voting,AV-Hampton Park Library ICP 2 - 0,4550
Advanced Voting,AV-Hampton Park Library ICP 1 - 0,4926
Advanced Voting,AV-Elections Office ICP 1 - 0,4956
Advanced Voting,AV-Elections Office ICP 3 - 0,3192
Advanced Voting,AV-Midway Park Comm Bldg ICP 2 - 0,4922
Advanced Voting,AV-Sharon Springs Park Comm Bldg ICP 2 - 0,6205
Advanced Voting,AV-Sharon Springs Park Comm Bldg ICP 1 - 0,5808
Advanced Voting,AV-Sharon Springs Park Comm Bldg ICP 3 - 0,3077
Election Day,ED-42 Keith Bridge ICP 1 - 0,64
Election Day,ED-42 Keith Bridge ICP 2 - 0,882
Election Day,ED-38 Daves Creek ICP 1 - 0,735
Election Day,ED-38 Daves Creek ICP 2 - 0,662
Election Day,ED-44 Lanier ICP 2 - 0,490
Election Day,ED-44 Lanier ICP 1 - 0,418
Absentee by Mail,ICC - Absentee By Mail 1 - 99,25
Absentee by Mail,ICC - Absentee By Mail 1 - 156,25
Absentee by Mail,ICC - Absentee By Mail 1 - 155,25
Absentee by Mail,ICC - Absentee By Mail 1 - 157,25
Absentee by Mail,ICC - Absentee By Mail 1 - 154,25
Absentee by Mail,ICC - Absentee By Mail 1 - 159,12
Absentee by Mail,ICC - Absentee By Mail 1 - 158,24
Absentee by Mail,ICC - Absentee By Mail 1 - 162,23
Absentee by Mail,ICC - Absentee By Mail 1 - 161,25
Absentee by Mail,ICC - Absentee By Mail 1 - 160,25
Absentee by Mail,ICC - Absentee By Mail 1 - 16,25
Absentee by Mail,ICC - Absentee By Mail 1 - 153,23
Absentee by Mail,ICC - Absentee By Mail 1 - 152,25
Absentee by Mail,ICC - Absentee By Mail 1 - 146,25
Absentee by Mail,ICC - Absentee By Mail 1 - 145,25
Absentee by Mail,ICC - Absentee By Mail 1 - 144,24
Absentee by Mail,ICC - Absentee By Mail 1 - 143,25
Absentee by Mail,ICC - Absentee By Mail 1 - 147,25
Absentee by Mail,ICC - Absentee By Mail 1 - 148,25
Absentee by Mail,ICC - Absentee By Mail 1 - 151,25
Absentee by Mail,ICC - Absentee By Mail 1 - 150,25
Absentee by Mail,ICC - Absentee By Mail 1 - 15,25
Absentee by Mail,ICC - Absentee By Mail 1 - 149,25
Absentee by Mail,ICC - Absentee By Mail 1 - 163,24
Absentee by Mail,ICC - Absentee By Mail 1 - 164,24
Absentee by Mail,ICC - Absentee By Mail 1 - 179,25
Absentee by Mail,ICC - Absentee By Mail 1 - 178,25
Absentee by Mail,ICC - Absentee By Mail 1 - 177,25
Absentee by Mail,ICC - Absentee By Mail 1 - 176,25
Absentee by Mail,ICC - Absentee By Mail 1 - 18,25
Absentee by Mail,ICC - Absentee By Mail 1 - 180,24
Absentee by Mail,ICC - Absentee By Mail 1 - 184,25
Absentee by Mail,ICC - Absentee By Mail 1 - 183,25
Absentee by Mail,ICC - Absentee By Mail 1 - 182,25
Absentee by Mail,ICC - Absentee By Mail 1 - 181,25
Absentee by Mail,ICC - Absentee By Mail 1 - 175,25
Absentee by Mail,ICC - Absentee By Mail 1 - 174,25
Absentee by Mail,ICC - Absentee By Mail 1 - 168,25
Absentee by Mail,ICC - Absentee By Mail 1 - 167,25
Absentee by Mail,ICC - Absentee By Mail 1 - 166,25
Absentee by Mail,ICC - Absentee By Mail 1 - 165,25
Absentee by Mail,ICC - Absentee By Mail 1 - 169,25
Absentee by Mail,ICC - Absentee By Mail 1 - 17,25
Absentee by Mail,ICC - Absentee By Mail 1 - 173,25
Absentee by Mail,ICC - Absentee By Mail 1 - 172,25
Absentee by Mail,ICC - Absentee By Mail 1 - 171,18
Absentee by Mail,ICC - Absentee By Mail 1 - 170,25
Absentee by Mail,ICC - Absentee By Mail 1 - 142,25
Absentee by Mail,ICC - Absentee By Mail 1 - 141,24
Absentee by Mail,ICC - Absentee By Mail 1 - 113,24
Absentee by Mail,ICC - Absentee By Mail 1 - 112,25
Absentee by Mail,ICC - Absentee By Mail 1 - 111,25
Absentee by Mail,ICC - Absentee By Mail 1 - 110,25
Absentee by Mail,ICC - Absentee By Mail 1 - 114,24
Absentee by Mail,ICC - Absentee By Mail 1 - 115,25
Absentee by Mail,ICC - Absentee By Mail 1 - 119,25
Absentee by Mail,ICC - Absentee By Mail 1 - 118,25
Absentee by Mail,ICC - Absentee By Mail 1 - 117,25
Absentee by Mail,ICC - Absentee By Mail 1 - 116,25
Absentee by Mail,ICC - Absentee By Mail 1 - 11,24
Absentee by Mail,ICC - Absentee By Mail 1 - 109,25
Absentee by Mail,ICC - Absentee By Mail 1 - 102,25
