Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail 1 - 1,50
Absentee by Mail,ICC - Absentee By Mail 1 - 2,50
Absentee by Mail,ICC - Absentee By Mail 1 - 3,50
Absentee by Mail,ICC - Absentee By Mail 1 - 4,50
Absentee by Mail,ICC - Absentee By Mail 1 - 5,50
Absentee by Mail,ICC - Absentee By Mail 1 - 6,50
Absentee by Mail,ICC - Absentee By Mail 1 - 7,50
Absentee by Mail,ICC - Absentee By Mail 1 - 8,50
Absentee by Mail,ICC - Absentee By Mail 1 - 9,50
Absentee by Mail,ICC - Absentee By Mail 1 - 10,50
Absentee by Mail,ICC - Absentee By Mail 1 - 11,50
Absentee by Mail,ICC - Absentee By Mail 1 - 12,50
Absentee by Mail,ICC - Absentee By Mail 1 - 13,50
Absentee by Mail,ICC - Absentee By Mail 1 - 14,50
Absentee by Mail,ICC - Absentee By Mail 1 - 15,50
Absentee by Mail,ICC - Absentee By Mail 1 - 16,50
Absentee by Mail,ICC - Absentee By Mail 1 - 17,50
Absentee by Mail,ICC - Absentee By Mail 1 - 18,50
Absentee by Mail,ICC - Absentee By Mail 1 - 19,50
Absentee by Mail,ICC - Absentee By Mail 1 - 20,50
Absentee by Mail,ICC - Absentee By Mail 1 - 21,50
Absentee by Mail,ICC - Absentee By Mail 1 - 22,29
Absentee by Mail,ICC - Absentee By Mail 1 - 23,50
Absentee by Mail,ICC - Absentee By Mail 1 - 24,50
Absentee by Mail,ICC - Absentee By Mail 1 - 25,50
Absentee by Mail,ICC - Absentee By Mail 1 - 26,50
Absentee by Mail,ICC - Absentee By Mail 1 - 27,50
Absentee by Mail,ICC - Absentee By Mail 1 - 28,50
Absentee by Mail,ICC - Absentee By Mail 1 - 29,50
Absentee by Mail,ICC - Absentee By Mail 1 - 30,50
Absentee by Mail,ICC - Absentee By Mail 1 - 31,50
Absentee by Mail,ICC - Absentee By Mail 1 - 32,49
Absentee by Mail,ICC - Absentee By Mail 1 - 33,50
Absentee by Mail,ICC - Absentee By Mail 1 - 34,50
Absentee by Mail,ICC - Absentee By Mail 1 - 35,50
Absentee by Mail,ICC - Absentee By Mail 1 - 36,50
Absentee by Mail,ICC - Absentee By Mail 1 - 37,49
Absentee by Mail,ICC - Absentee By Mail 1 - 38,50
Absentee by Mail,ICC - Absentee By Mail 1 - 39,50
Absentee by Mail,ICC - Absentee By Mail 1 - 40,50
Absentee by Mail,ICC - Absentee By Mail 1 - 41,50
Absentee by Mail,ICC - Absentee By Mail 1 - 42,50
Absentee by Mail,ICC - Absentee By Mail 1 - 43,50
Absentee by Mail,ICC - Absentee By Mail 1 - 44,51
Absentee by Mail,ICC - Absentee By Mail 1 - 45,49
Absentee by Mail,ICC - Absentee By Mail 1 - 46,50
Absentee by Mail,ICC - Absentee By Mail 1 - 47,50
Absentee by Mail,ICC - Absentee By Mail 1 - 48,50
Absentee by Mail,ICC - Absentee By Mail 1 - 49,4
Absentee by Mail,ICC - Absentee By Mail 1 - 50,50
Absentee by Mail,ICC - Absentee By Mail 1 - 51,49
Absentee by Mail,ICC - Absentee By Mail 1 - 52,51
Absentee by Mail,ICC - Absentee By Mail 1 - 53,50
Absentee by Mail,ICC - Absentee By Mail 1 - 54,50
Absentee by Mail,ICC - Absentee By Mail 1 - 55,50
Absentee by Mail,ICC - Absentee By Mail 1 - 56,50
Absentee by Mail,ICC - Absentee By Mail 1 - 57,50
Absentee by Mail,ICC - Absentee By Mail 1 - 58,50
Absentee by Mail,ICC - Absentee By Mail 1 - 59,49
Absentee by Mail,ICC - Absentee By Mail 1 - 60,50
Absentee by Mail,ICC - Absentee By Mail 1 - 61,51
Absentee by Mail,ICC - Absentee By Mail 1 - 62,50
Absentee by Mail,ICC - Absentee By Mail 1 - 63,50
Absentee by Mail,ICC - Absentee By Mail 1 - 64,50
Advanced Voting,AV-Watson Govt Cmplx ICP 1 - 0,7626
Advanced Voting,AV-Watson Govt Cmplx ICP 2 - 0,7269
Advanced Voting,AV-Watson Govt Cmplx ICP 3 - 0,7318
Advanced Voting,AV-Watson Govt Cmplx ICP 4 - 0,6076
Advanced Voting,AV-Watson Govt Cmplx ICP 5 - 0,923
Absentee by Mail,ICC - Absentee By Mail 1 - 65,50
Absentee by Mail,ICC - Absentee By Mail 1 - 66,50
Absentee by Mail,ICC - Absentee By Mail 1 - 67,50
Absentee by Mail,ICC - Absentee By Mail 1 - 68,50
Absentee by Mail,ICC - Absentee By Mail 1 - 69,50
Absentee by Mail,ICC - Absentee By Mail 1 - 70,50
Absentee by Mail,ICC - Absentee By Mail 1 - 71,50
Absentee by Mail,ICC - Absentee By Mail 1 - 72,48
Absentee by Mail,ICC - Absentee By Mail 1 - 73,50
Absentee by Mail,ICC - Absentee By Mail 1 - 74,50
Absentee by Mail,ICC - Absentee By Mail 1 - 75,49
Absentee by Mail,ICC - Absentee By Mail 1 - 76,50
Absentee by Mail,ICC - Absentee By Mail 1 - 77,50
Absentee by Mail,ICC - Absentee By Mail 1 - 78,50
Absentee by Mail,ICC - Absentee By Mail 1 - 80,50
Absentee by Mail,ICC - Absentee By Mail 1 - 81,50
Absentee by Mail,ICC - Absentee By Mail 1 - 83,42
Absentee by Mail,ICC - Absentee By Mail 1 - 84,48
Absentee by Mail,ICC - Absentee By Mail 1 - 85,50
Absentee by Mail,ICC - Absentee By Mail 1 - 86,40
Absentee by Mail,ICC - Absentee By Mail 1 - 87,27
Absentee by Mail,ICC - Absentee By Mail 1 - 88,9
Absentee by Mail,ICC - Absentee By Mail 1 - 79,50
Election Day,ED-Burnt Hickory Park ICP 1 - 0,1031
Election Day,ED-Burnt Hickory Park ICP 2 - 0,1031
Election Day,ED-Paulding Sr Center ICP 1 - 0,620
Election Day,ED-Paulding Sr Center ICP 2 - 0,749
Election Day,ED-Crossroads Library ICP 1 - 0,538
Election Day,ED-Crossroads Library ICP 2 - 0,678
Election Day,ED-Legacy Bapt Church ICP 1 - 0,545
Election Day,ED-Legacy Bapt Church ICP 2 - 0,192
Election Day,ED-Watson Govt Cmplx ICP 1 - 0,407
Election Day,ED-Watson Govt Cmplx ICP 2 - 0,483
Election Day,ED-Watson Govt Cmplx ICP 3 - 0,667
Election Day,ED-Shelton Elem School ICP 1 - 0,770
Election Day,ED-Shelton Elem School ICP 2 - 0,690
Election Day,ED-D Wright Innovation Ctr ICP 1 - 0,787
Election Day,ED-D Wright Innovation Ctr ICP 2 - 0,788
Election Day,ED-Nebo Elem School ICP 1 - 0,1190
Election Day,ED-Nebo Elem School ICP 2 - 0,1010
Election Day,ED-East Paulding Middle Sch ICP 1 - 0,1210
Election Day,ED-East Paulding Middle Sch ICP 2 - 0,1152
Election Day,ED-Events Place ICP 1 - 0,487
Election Day,ED-Events Place ICP 2 - 0,407
Election Day,ED-White Oak Park ICP 1 - 0,577
Election Day,ED-White Oak Park ICP 2 - 0,535
Election Day,ED-Mulberry Rock Park ICP 1 - 0,818
Election Day,ED-Mulberry Rock Park ICP 2 - 0,812
Election Day,ED-Paulding Co Airport ICP 1 - 0,520
Election Day,ED-Paulding Co Airport ICP 2 - 0,496
Election Day,ED-Dobbins Middle School ICP 1 - 0,913
Election Day,ED-Dobbins Middle School ICP 2 - 0,589
Election Day,ED-Russom Elem School ICP 1 - 0,191
Election Day,ED-Russom Elem School ICP 2 - 0,1993
Election Day,ED-Russom Elem School ICP 3 - 0,479
Election Day,ED-Poplar Sprgs Bapt Church ICP 1 - 0,419
Election Day,ED-Poplar Sprgs Bapt Church ICP 2 - 0,416
Election Day,ED-Beulahland Bapt Church ICP 1 - 0,583
Election Day,ED-Beulahland Bapt Church ICP 2 - 0,63
Election Day,ED-Taylor Farm Park ICP 1 - 0,377
Election Day,ICC - Election Day - 1,127
Election Day,ICC - Election Day - 2,114
Provisional,ICC - Provisional - 1,30
