Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,38
Advance Voting,AV-Elections Office ICP 1 - 0,1812
Election Day,ED-Faith Temple of Lincoln ICP 1 - 0,148
Election Day,ED-Tabernacle ICP 1 - 0,271
Election Day,ED-Lincoln Center ICP 1 - 0,325
Election Day,ED-Lincoln Club House ICP 1 - 0,227
Election Day,ED-Midway ICP 1 - 0,181
Election Day,ED-Bethany Church ICP 1 - 0,159
Election Day,ED-Martins Crossroad ICP 1 - 0,345
Provisional,ICC-Provisional - 2,2
