Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,50
Absentee by Mail,Absentee By Mail ICC - 2,50
Absentee by Mail,Absentee By Mail ICC - 3,50
Absentee by Mail,Absentee By Mail ICC - 4,50
Absentee by Mail,Absentee By Mail ICC - 5,51
Advance Voting,AV-Election Office ICP 1 - 0,2487
Election Day,ED- West Berrien ICP 1 - 0,413
Election Day,ED-Nashville ICP 1 - 0,671
Election Day,ED-Nashville ICP 2 - 0,445
Election Day,ED-Alapaha ICP 1 - 0,432
Election Day,ED-Ray City ICP 1 - 0,475
Election Day,ED-Enigma ICP 1 - 0,380
