Container,Batch Name,Number of Ballots
Advance Voting,AV-Mauney Srvc Building ICP 1 - 0,1224
Advance Voting,AV-Mauney Srvc Building ICP 2 - 0,3809
Election Day,ED-White Creek ICP 1 - 0,571
Election Day,ED-Nacoochee ICP 1 - 0,443
Election Day,ED-Mossy Creek ICP 1 - 0,993
Election Day,ED-Blue Creek ICP 1 - 0,658
Election Day,ED-Mt Yonah ICP 1 - 0,962
Election Day,ED-Town Creek ICP 1 - 0,436
Election Day,ED-Tesnatee ICP 1 - 0,340
Election Day,ED-Robertstown-Helen ICP 1 - 0,267
Election Day,ED-Shoal Creek ICP 1 - 0,703
Election Day,ED-Blue Ridge ICP 1 - 0,295
Absentee by Mail,ICC-Absentee by Mail - 14,5
Absentee by Mail,ICC-Absentee by Mail - 9,24
Absentee by Mail,ICC-Absentee by Mail - 13,36
Absentee by Mail,ICC-Absentee by Mail - 12,50
Absentee by Mail,ICC-Absentee by Mail - 11,50
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 2,49
Absentee by Mail,ICC-Absentee by Mail - 8,50
Absentee by Mail,ICC-Absentee by Mail - 10,50
Absentee by Mail,ICC-Absentee by Mail - 7,50
Absentee by Mail,ICC-Absentee by Mail - 6,50
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 15,8
Election Day,ICC-Election Day - 1,1
Provisional,ICC-Provisional - 1,5
Absentee by Mail,ICC-Absentee by Mail - 16,1
