Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,63
Absentee by Mail,ICC-Absentee by Mail - 25,44
Absentee by Mail,ICC-Absentee by Mail - 24,31
Absentee by Mail,ICC-Absentee by Mail - 23,32
Absentee by Mail,ICC-Absentee by Mail - 22,34
Absentee by Mail,ICC-Absentee by Mail - 3,13
Absentee by Mail,ICC-Absentee by Mail - 4,14
Absentee by Mail,ICC-Absentee by Mail - 8,46
Absentee by Mail,ICC-Absentee by Mail - 7,46
Absentee by Mail,ICC-Absentee by Mail - 6,35
Absentee by Mail,ICC-Absentee by Mail - 5,46
Absentee by Mail,ICC-Absentee by Mail - 21,5
Absentee by Mail,ICC-Absentee by Mail - 20,48
Absentee by Mail,ICC-Absentee by Mail - 2,12
Absentee by Mail,ICC-Absentee by Mail - 13,38
Absentee by Mail,ICC-Absentee by Mail - 12,31
Absentee by Mail,ICC-Absentee by Mail - 11,47
Absentee by Mail,ICC-Absentee by Mail - 10,35
Absentee by Mail,ICC-Absentee by Mail - 14,18
Absentee by Mail,ICC-Absentee by Mail - 15,4
Absentee by Mail,ICC-Absentee by Mail - 19,43
Absentee by Mail,ICC-Absentee by Mail - 18,37
Absentee by Mail,ICC-Absentee by Mail - 17,40
Absentee by Mail,ICC-Absentee by Mail - 16,50
Absentee by Mail,ICC-Absentee by Mail - 9,40
Advance Voting,AV-Ruby Fulbright Aquatic Ctr ICP 2 - 0,5112
Advance Voting,AV-Ruby Fulbright Aquatic Ctr ICP 1 - 0,4261
Election Day,ED-Demorest ICP 1 - 0,819
Election Day,ED-Habersham South ICP 2 - 0,495
Election Day,ED-Habersham South ICP 1 - 0,740
Election Day,ED-Amys Creek ICP 1 - 0,431
Election Day,ED-Town of Mount Airy ICP 1 - 0,205
Election Day,ED-Mud Creek ICP 1 - 0,1016
Election Day,ED-Habersham North ICP 2 - 0,805
Election Day,ED-Habersham North ICP 1 - 0,634
Absentee by Mail,ICC-Absentee by Mail - 26,15
Provisional,ICC-Provisional - 1,7
