Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 9,25
Absentee by Mail,ICC-Absentee by Mail - 14,25
Absentee by Mail,ICC-Absentee by Mail - 13,25
Absentee by Mail,ICC-Absentee by Mail - 12,25
Absentee by Mail,ICC-Absentee by Mail - 15,25
Absentee by Mail,ICC-Absentee by Mail - 16,22
Absentee by Mail,ICC-Absentee by Mail - 7,25
Absentee by Mail,ICC-Absentee by Mail - 11,25
Absentee by Mail,ICC-Absentee by Mail - 10,25
Absentee by Mail,ICC-Absentee by Mail - 2,25
Absentee by Mail,ICC-Absentee by Mail - 6,25
Absentee by Mail,ICC-Absentee by Mail - 5,25
Absentee by Mail,ICC-Absentee by Mail - 8,25
Absentee by Mail,ICC-Absentee by Mail - 3,25
Absentee by Mail,ICC-Absentee by Mail - 4,25
Absentee by Mail,ICC-Absentee by Mail - 1,25
Advance Voting,AV-Elections Office ICP 1 - 0,4961
Election Day,ED-Goldmine ICP 1 - 0,625
Election Day,ED-Bio ICP 1 - 0,418
Election Day,ED-Bowersville ICP 1 - 0,518
Election Day,ED-Cokesbury ICP 1 - 0,293
Election Day,ED-Hartwell ICP 1 - 0,570
Election Day,ED-Hartwell ICP 2 - 0,569
Election Day,ED-Reed Creek ICP 1 - 0,865
Election Day,ED-Shoal Creek ICP 1 - 0,578
Absentee by Mail,ICC-Absentee by Mail - 17,2
Provisional,ICC-Provisional - 1,1
