Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,82
Absentee by Mail,ICC-Absentee by Mail - 2,70
Absentee by Mail,ICC-Absentee by Mail - 3,63
Absentee by Mail,ICC-Absentee by Mail - 4,99
Absentee by Mail,ICC-Absentee by Mail - 5,87
Absentee by Mail,ICC-Absentee by Mail - 6,89
Absentee by Mail,ICC-Absentee by Mail - 7,37
Absentee by Mail,ICC-Absentee by Mail - 8,77
Absentee by Mail,ICC-Absentee by Mail - 9,54
Absentee by Mail,ICC-Absentee by Mail - 10,72
Absentee by Mail,ICC-Absentee by Mail - 11,94
Absentee by Mail,ICC-Absentee by Mail - 12,86
Absentee by Mail,ICC-Absentee by Mail - 13,71
Absentee by Mail,ICC-Absentee by Mail - 14,100
Absentee by Mail,ICC-Absentee by Mail - 15,62
Absentee by Mail,ICC-Absentee by Mail - 16,26
Absentee by Mail,ICC-Absentee by Mail - 17,5
Absentee by Mail,ICC-Absentee by Mail - 18,88
Absentee by Mail,ICC-Absentee by Mail - 19,100
Absentee by Mail,ICC-Absentee by Mail - 20,90
Absentee by Mail,ICC-Absentee by Mail - 21,70
Absentee by Mail,ICC-Absentee by Mail - 22,94
Absentee by Mail,ICC-Absentee by Mail - 23,85
Absentee by Mail,ICC-Absentee by Mail - 24,34
Absentee by Mail,ICC-Absentee by Mail - 25,30
Advance Voting,AV-Main ICP 3 - 0,3332
Advance Voting,AV-Main ICP 2 - 0,7289
Advance Voting,AV-Main ICP 4 - 0,7716
Election Day,ED-FI ICP 1 - 0,796
Election Day,ED-CO ICP 1 - 0,618
Election Day,ED-RO ICP 1 - 0,732
Election Day,ED-ST ICP 1 - 0,531
Election Day,ED-SM ICP 1 - 0,757
Election Day,ED-LA ICP 1 - 0,321
Election Day,ED-HI ICP 1 - 0,680
Election Day,ED-MI ICP 1 - 0,584
Election Day,ED-FS ICP 1 - 0,600
Election Day,ED-MA ICP 1 - 0,698
Election Day,ED-BT ICP 1 - 0,991
Election Day,ED-SP ICP 1 - 0,753
Election Day,ED-OT ICP 1 - 0,838
Election Day,ED-HC ICP 1 - 0,562
Election Day,ED-BA ICP 1 - 0,1033
Election Day,ED-LO ICP 1 - 0,1028
Absentee by Mail,ICC-Absentee by Mail - 26,10
Provisional,ICC-Provisional - 1,14
Absentee by Mail,ICC-Absentee by Mail - 27,1
