Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,4679
Election Day,ED-Murphy ICP 1 - 0,332
Election Day,ED-Funston ICP 1 - 0,354
Election Day,ED-Warrior ICP 1 - 0,377
Election Day,ED-Lee ICP 1 - 0,272
Election Day,ED-Bridgecreek ICP 1 - 0,334
Election Day,ED-Thigpen ICP 1 - 0,103
Election Day,ED-TyTy ICP 1 - 0,233
Election Day,ED-Norman Park ICP 1 - 0,583
Election Day,ED-Hartsfield ICP 1 - 0,212
Election Day,ED-Hamilton ICP 1 - 0,299
Election Day,ED-Autreyville ICP 1 - 0,390
Election Day,ED-Shaw ICP 1 - 0,421
Election Day,ED-Hopewell ICP 1 - 0,407
Election Day,ED-Millcreek ICP 1 - 0,142
Election Day,ED-Doerun ICP 1 - 0,254
Election Day,ED-Monk ICP 1 - 0,424
Election Day,ED-Robinson ICP 1 - 0,298
Election Day,ED-Moultrie ICP 1 - 0,805
Absentee by Mail,Absentee By Mail ICC - 1,100
Absentee by Mail,Absentee By Mail ICC - 2,100
Absentee by Mail,Absentee By Mail ICC - 3,100
Absentee by Mail,Absentee By Mail ICC - 4,100
Absentee by Mail,Absentee By Mail ICC - 5,37
Election Day,ED-Crosland ICP 1 - 0,117
Provisional,Provisional ICC - 1,5
