Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail 1 - 1,75
Absentee by Mail,ICC - Absentee By Mail 1 - 2,75
Absentee by Mail,ICC - Absentee By Mail 1 - 3,1
Absentee by Mail,ICC - Absentee By Mail 1 - 4,28
Absentee by Mail,ICC - Absentee By Mail 1 - 5,75
Absentee by Mail,ICC - Absentee By Mail 1 - 6,74
Absentee by Mail,ICC - Absentee By Mail 1 - 7,75
Absentee by Mail,ICC - Absentee By Mail 1 - 8,75
Absentee by Mail,ICC - Absentee By Mail 1 - 9,75
Absentee by Mail,ICC - Absentee By Mail 1 - 10,52
Absentee by Mail,ICC - Absentee By Mail 1 - 11,75
Absentee by Mail,ICC - Absentee By Mail 1 - 12,75
Absentee by Mail,ICC - Absentee By Mail 1 - 13,75
Absentee by Mail,ICC - Absentee By Mail 1 - 14,75
Absentee by Mail,ICC - Absentee By Mail 1 - 15,75
Absentee by Mail,ICC - Absentee By Mail 1 - 16,21
Absentee by Mail,ICC - Absentee By Mail 1 - 17,75
Absentee by Mail,ICC - Absentee By Mail 1 - 18,49
Absentee by Mail,ICC - Absentee By Mail 1 - 19,61
Absentee by Mail,ICC - Absentee By Mail 1 - 20,75
Absentee by Mail,ICC - Absentee By Mail 1 - 21,75
Absentee by Mail,ICC - Absentee By Mail 1 - 22,75
Absentee by Mail,ICC - Absentee By Mail 1 - 23,77
Absentee by Mail,ICC - Absentee By Mail 1 - 24,75
Absentee by Mail,ICC - Absentee By Mail 1 - 25,75
Absentee by Mail,ICC - Absentee By Mail 1 - 26,75
Absentee by Mail,ICC - Absentee By Mail 1 - 27,17
Absentee by Mail,ICC - Absentee By Mail 1 - 28,75
Absentee by Mail,ICC - Absentee By Mail 1 - 29,75
Absentee by Mail,ICC - Absentee By Mail 1 - 30,75
Absentee by Mail,ICC - Absentee By Mail 1 - 31,76
Absentee by Mail,ICC - Absentee By Mail 1 - 32,75
Absentee by Mail,ICC - Absentee By Mail 1 - 33,74
Absentee by Mail,ICC - Absentee By Mail 1 - 34,75
Absentee by Mail,ICC - Absentee By Mail 1 - 35,61
Absentee by Mail,ICC - Absentee By Mail 1 - 36,87
Absentee by Mail,ICC - Absentee By Mail 1 - 37,75
Absentee by Mail,ICC - Absentee By Mail 1 - 38,75
Absentee by Mail,ICC - Absentee By Mail 1 - 39,76
Absentee by Mail,ICC - Absentee By Mail 1 - 40,75
Absentee by Mail,ICC - Absentee By Mail 1 - 41,85
Absentee by Mail,ICC - Absentee By Mail 1 - 42,75
Absentee by Mail,ICC - Absentee By Mail 1 - 43,75
Absentee by Mail,ICC - Absentee By Mail 1 - 44,71
Absentee by Mail,ICC - Absentee By Mail 1 - 45,77
Absentee by Mail,ICC - Absentee By Mail 1 - 46,74
Advanced Voting,AV-Columbus Tech ICP 1 - 1,303
Advanced Voting,AV-Columbus Tech ICP 1 - 2,515
Advanced Voting,AV-Columbus Tech ICP 1 - 3,665
Advanced Voting,AV-Columbus Tech ICP 1 - 4,382
Advanced Voting,AV-Columbus Tech ICP 1 - 5,574
Advanced Voting,AV-Columbus Tech ICP 1 - 6,834
Advanced Voting,AV-Columbus Tech ICP 1 - 7,498
Advanced Voting,AV-Columbus Tech ICP 1 - 8,317
Advanced Voting,AV-Columbus Tech ICP 1 - 9,237
Advanced Voting,AV-Columbus Tech ICP 1 - 10,275
Advanced Voting,AV-Columbus Tech ICP 1 - 11,125
Advanced Voting,AV-Columbus Tech ICP 1 - 12,10
Advanced Voting,AV-City Services Ctr ICP 1 - 0,6871
Advanced Voting,AV-Elections Office ICP 1 - 0,3359
Advanced Voting,AV-City Services Ctr ICP 2 - 0,7073
Absentee by Mail,ICC - Absentee By Mail 1 - 47,4
Advanced Voting,AV-Shirley Winston ICP 1 - 0,6488
Absentee by Mail,ICC - Absentee By Mail 1 - 48,33
Advanced Voting,AV-Columbus Tech ICP 2 - 0,2800
Absentee by Mail,ICC - Absentee By Mail 1 - 49,50
Absentee by Mail,ICC - Absentee By Mail 1 - 50,50
Absentee by Mail,ICC - Absentee By Mail 1 - 51,50
Absentee by Mail,ICC - Absentee By Mail 1 - 52,50
Absentee by Mail,ICC - Absentee By Mail 1 - 53,50
Absentee by Mail,ICC - Absentee By Mail 1 - 54,54
Absentee by Mail,ICC - Absentee By Mail 1 - 55,50
Absentee by Mail,ICC - Absentee By Mail 1 - 56,50
Absentee by Mail,ICC - Absentee By Mail 1 - 57,51
Absentee by Mail,ICC - Absentee By Mail 1 - 58,50
