Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 6,50
Absentee by Mail,ICC-Absentee by Mail - 7,50
Absentee by Mail,ICC-Absentee by Mail - 8,50
Absentee by Mail,ICC-Absentee by Mail - 9,50
Absentee by Mail,ICC-Absentee by Mail - 10,50
Absentee by Mail,ICC-Absentee by Mail - 11,50
Absentee by Mail,ICC-Absentee by Mail - 12,50
Advance Voting,AV-Elections Office ICP 1 - 0,4387
Absentee by Mail,ICC-Absentee by Mail - 13,30
Election Day,ED-101 ICP 1 - 0,670
Election Day,ED-106 ICP 1 - 0,532
Election Day,ICC-Election Day - 1,80
Election Day,ICC-Election Day - 2,79
Election Day,ICC-Election Day - 3,72
Election Day,ICC-Election Day - 4,86
Election Day,ICC-Election Day - 5,86
Election Day,ICC-Election Day - 6,85
Election Day,ICC-Election Day - 7,108
Election Day,ICC-Election Day - 8,90
Election Day,ICC-Election Day - 9,84
Election Day,ED-105 ICP 1 - 0,1141
Election Day,ED-107 ICP 1 - 0,1158
Absentee by Mail,ICC-Absentee by Mail - 14,11
