Container,Batch Name,Number of Ballots
Advance Voting,ICC-Advance Voting - 1,25
Advance Voting,ICC-Advance Voting - 2,25
Advance Voting,ICC-Advance Voting - 3,25
Advance Voting,ICC-Advance Voting - 4,25
Advance Voting,ICC-Advance Voting - 5,25
Advance Voting,ICC-Advance Voting - 6,25
Advance Voting,ICC-Advance Voting - 7,25
Advance Voting,ICC-Advance Voting - 8,25
Advance Voting,ICC-Advance Voting - 9,25
Advance Voting,ICC-Advance Voting - 10,25
Advance Voting,ICC-Advance Voting - 11,25
Advance Voting,ICC-Advance Voting - 12,25
Advance Voting,ICC-Advance Voting - 13,25
Advance Voting,ICC-Advance Voting - 14,25
Advance Voting,ICC-Advance Voting - 15,25
Advance Voting,ICC-Advance Voting - 16,25
Advance Voting,ICC-Advance Voting - 17,25
Advance Voting,ICC-Advance Voting - 18,25
Advance Voting,ICC-Advance Voting - 19,25
Advance Voting,ICC-Advance Voting - 20,25
Advance Voting,ICC-Advance Voting - 21,25
Advance Voting,ICC-Advance Voting - 22,25
Advance Voting,ICC-Advance Voting - 23,25
Advance Voting,ICC-Advance Voting - 24,25
Advance Voting,ICC-Advance Voting - 25,25
Advance Voting,ICC-Advance Voting - 26,25
Advance Voting,ICC-Advance Voting - 27,25
Advance Voting,ICC-Advance Voting - 28,25
Advance Voting,ICC-Advance Voting - 29,25
Advance Voting,ICC-Advance Voting - 30,25
Advance Voting,ICC-Advance Voting - 31,25
Advance Voting,ICC-Advance Voting - 32,25
Advance Voting,ICC-Advance Voting - 33,25
Advance Voting,ICC-Advance Voting - 34,25
Advance Voting,ICC-Advance Voting - 35,25
Advance Voting,ICC-Advance Voting - 36,25
Advance Voting,ICC-Advance Voting - 37,25
Advance Voting,ICC-Advance Voting - 38,25
Advance Voting,ICC-Advance Voting - 39,25
Advance Voting,ICC-Advance Voting - 40,25
Advance Voting,ICC-Advance Voting - 41,25
Advance Voting,ICC-Advance Voting - 42,25
Advance Voting,ICC-Advance Voting - 43,25
Advance Voting,ICC-Advance Voting - 44,25
Advance Voting,ICC-Advance Voting - 45,25
Advance Voting,ICC-Advance Voting - 46,25
Advance Voting,ICC-Advance Voting - 47,25
Advance Voting,ICC-Advance Voting - 48,25
Advance Voting,ICC-Advance Voting - 49,25
Advance Voting,ICC-Advance Voting - 50,25
Advance Voting,ICC-Advance Voting - 51,25
Advance Voting,ICC-Advance Voting - 52,25
Advance Voting,ICC-Advance Voting - 53,25
Advance Voting,ICC-Advance Voting - 54,25
Advance Voting,ICC-Advance Voting - 55,25
Advance Voting,ICC-Advance Voting - 56,25
Advance Voting,ICC-Advance Voting - 57,25
Advance Voting,ICC-Advance Voting - 58,25
Advance Voting,ICC-Advance Voting - 59,25
Advance Voting,ICC-Advance Voting - 60,25
Advance Voting,ICC-Advance Voting - 61,25
Advance Voting,ICC-Advance Voting - 62,25
Advance Voting,ICC-Advance Voting - 63,25
Advance Voting,ICC-Advance Voting - 64,25
