Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee By Mail - 1,25
Absentee by Mail,ICC-Absentee By Mail - 2,25
Absentee by Mail,ICC-Absentee By Mail - 3,25
Absentee by Mail,ICC-Absentee By Mail - 4,25
Absentee by Mail,ICC-Absentee By Mail - 5,25
Absentee by Mail,ICC-Absentee By Mail - 6,25
Absentee by Mail,ICC-Absentee By Mail - 7,8
Advanced Voting,AV-Elections Office ICP 1 - 0,1421
Election Day,ED-Pinehurst ICP 1 - 0,175
Election Day,ED-Vienna ICP 1 - 0,469
Election Day,ED-Lilly ICP 1 - 0,151
Election Day,ED-Byromville ICP 1 - 0,220
Election Day,ED-Unadilla ICP 1 - 0,470
