Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 1,50
Absentee by Mail,ICC - Absentee By Mail - 2,50
Absentee by Mail,ICC - Absentee By Mail - 3,50
Absentee by Mail,ICC - Absentee By Mail - 4,50
Absentee by Mail,ICC - Absentee By Mail - 5,50
Absentee by Mail,ICC - Absentee By Mail - 6,50
Absentee by Mail,ICC - Absentee By Mail - 7,50
Absentee by Mail,ICC - Absentee By Mail - 8,50
Absentee by Mail,ICC - Absentee By Mail - 9,50
Absentee by Mail,ICC - Absentee By Mail - 10,50
Absentee by Mail,ICC - Absentee By Mail - 11,50
Absentee by Mail,ICC - Absentee By Mail - 12,50
Absentee by Mail,ICC - Absentee By Mail - 13,15
Absentee by Mail,ICC - Absentee By Mail - 14,12
Advanced Voting,AV-Elections Office ICP 1 - 0,4072
Absentee by Mail,ICC - Absentee By Mail - 15,60
Absentee by Mail,ICC - Absentee By Mail - 16,69
Absentee by Mail,ICC - Absentee By Mail - 17,2
Election Day,ED-Plains ICP 1 - 0,388
Election Day,ED-Andersonville ICP 1 - 0,182
Election Day,ED-Rec Dept ICP 1 - 0,382
Election Day,ED-Airport ICP 1 - 0,411
Election Day,ED-Rees Park ICP 1 - 0,427
Election Day,ED-Thompson ICP 1 - 0,186
Election Day,ED-JROTC ICP 1 - 0,564
Election Day,ED-Browns Mill ICP 1 - 0,339
Election Day,ED-Concord ICP 1 - 0,178
Election Day,ED-Leslie ICP 1 - 0,548
Election Day,ED-Agri-Center ICP 1 - 0,431
Absentee by Mail,ICC - Absentee By Mail - 18,2
