Container,Batch Name,Number of Ballots
Advanced Voting,AV-Elections Office ICP 1 - 0,6117
Election Day,ED-Pine Mountain Valley ICP 1 - 0,434
Election Day,ED-Ellerslie ICP 1 - 0,1392
Election Day,ED-Hamilton ICP 1 - 0,645
Election Day,ED-Whitesville ICP 1 - 0,499
Election Day,ED-Waverly Hall ICP 1 - 0,952
Election Day,ED-Skinner ICP 1 - 0,439
Election Day,ED-Cataula ICP 1 - 0,979
Election Day,ED-Goodman ICP 1 - 0,515
Election Day,ED-Valley Plains ICP 1 - 0,310
Election Day,ED-Upper 19th ICP 1 - 0,606
Election Day,ED-Mulberry Grove ICP 1 - 0,916
Election Day,ED-Lower 19th ICP 1 - 0,968
Absentee by Mail,ICC - Absentee By Mail - 1,25
Absentee by Mail,ICC - Absentee By Mail - 2,24
Absentee by Mail,ICC - Absentee By Mail - 3,25
Absentee by Mail,ICC - Absentee By Mail - 4,25
Absentee by Mail,ICC - Absentee By Mail - 5,25
Absentee by Mail,ICC - Absentee By Mail - 6,25
Absentee by Mail,ICC - Absentee By Mail - 7,25
Absentee by Mail,ICC - Absentee By Mail - 8,25
Absentee by Mail,ICC - Absentee By Mail - 9,25
Absentee by Mail,ICC - Absentee By Mail - 10,25
Absentee by Mail,ICC - Absentee By Mail - 11,25
Absentee by Mail,ICC - Absentee By Mail - 12,25
Absentee by Mail,ICC - Absentee By Mail - 13,25
Absentee by Mail,ICC - Absentee By Mail - 14,25
Absentee by Mail,ICC - Absentee By Mail - 15,25
Absentee by Mail,ICC - Absentee By Mail - 16,25
Absentee by Mail,ICC - Absentee By Mail - 17,25
Absentee by Mail,ICC - Absentee By Mail - 18,25
Absentee by Mail,ICC - Absentee By Mail - 19,25
Absentee by Mail,ICC - Absentee By Mail - 20,25
Absentee by Mail,ICC - Absentee By Mail - 21,25
Absentee by Mail,ICC - Absentee By Mail - 22,25
Absentee by Mail,ICC - Absentee By Mail - 23,25
Absentee by Mail,ICC - Absentee By Mail - 24,25
Absentee by Mail,ICC - Absentee By Mail - 25,24
Absentee by Mail,ICC - Absentee By Mail - 26,24
Absentee by Mail,ICC - Absentee By Mail - 27,24
Absentee by Mail,ICC - Absentee By Mail - 28,22
Absentee by Mail,ICC - Absentee By Mail - 29,24
Absentee by Mail,ICC - Absentee By Mail - 30,22
Absentee by Mail,ICC - Absentee By Mail - 31,23
Provisional,ICC - Provisional - 1,6
Absentee by Mail,ICC - Absentee By Mail - 33,2
