Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 1,49
Absentee by Mail,ICC - Absentee By Mail - 2,50
Absentee by Mail,ICC - Absentee By Mail - 3,50
Absentee by Mail,ICC - Absentee By Mail - 4,50
Absentee by Mail,ICC - Absentee By Mail - 5,50
Absentee by Mail,ICC - Absentee By Mail - 6,50
Absentee by Mail,ICC - Absentee By Mail - 7,49
Absentee by Mail,ICC - Absentee By Mail - 8,50
Absentee by Mail,ICC - Absentee By Mail - 9,50
Absentee by Mail,ICC - Absentee By Mail - 10,50
Absentee by Mail,ICC - Absentee By Mail - 11,50
Absentee by Mail,ICC - Absentee By Mail - 12,50
Absentee by Mail,ICC - Absentee By Mail - 13,50
Absentee by Mail,ICC - Absentee By Mail - 14,50
Absentee by Mail,ICC - Absentee By Mail - 15,50
Absentee by Mail,ICC - Absentee By Mail - 16,50
Absentee by Mail,ICC - Absentee By Mail - 17,52
Absentee by Mail,ICC - Absentee By Mail - 18,50
Absentee by Mail,ICC - Absentee By Mail - 19,50
Absentee by Mail,ICC - Absentee By Mail - 20,49
Absentee by Mail,ICC - Absentee By Mail - 21,50
Absentee by Mail,ICC - Absentee By Mail - 22,50
Absentee by Mail,ICC - Absentee By Mail - 23,50
Absentee by Mail,ICC - Absentee By Mail - 24,50
Absentee by Mail,ICC - Absentee By Mail - 25,50
Absentee by Mail,ICC - Absentee By Mail - 26,50
Absentee by Mail,ICC - Absentee By Mail - 27,50
Absentee by Mail,ICC - Absentee By Mail - 28,50
Absentee by Mail,ICC - Absentee By Mail - 29,50
Absentee by Mail,ICC - Absentee By Mail - 30,50
Absentee by Mail,ICC - Absentee By Mail - 31,50
Absentee by Mail,ICC - Absentee By Mail - 32,32
Absentee by Mail,ICC - Absentee By Mail - 33,30
Absentee by Mail,ICC - Absentee By Mail - 34,27
Advanced Voting,AV-VR Office ICP 1 - 0,7238
Advanced Voting,AV-Civic Center ICP 1 - 0,5543
Advanced Voting,AV-Advance North ICP 1 - 0,1506
Advanced Voting,AV-VR Office ICP 2 - 0,401
Advanced Voting,AV-Advance South ICP 1 - 0,1154
Absentee by Mail,ICC - Absentee By Mail - 35,12
Election Day,ED-Folsom ICP 1 - 0,492
Election Day,ED-White ICP 1 - 0,938
Election Day,ED-Cartersville East ICP 2 - 0,598
Election Day,ED-Cartersville East ICP 1 - 0,597
Election Day,ED-Mission Road ICP 1 - 0,875
Election Day,ED-Center ICP 1 - 0,1163
Election Day,ED-Kingston ICP 1 - 0,930
Election Day,ED-Emerson ICP 1 - 0,890
Election Day,ED-Zena Drive ICP 2 - 0,1030
Election Day,ED-Woodland ICP 1 - 0,441
Election Day,ED-Hamilton Crossing ICP 2 - 0,1441
Election Day,ED-Pine Log ICP 1 - 0,878
Election Day,ED-Adairsville ICP 1 - 0,1527
Election Day,ED-Euharlee ICP 1 - 0,1535
Election Day,ED-Allatoona ICP 1 - 0,806
Election Day,ED-Cassville ICP 1 - 0,422
Election Day,ED-Cassville ICP 2 - 0,421
Election Day,ED-Cartersville West ICP 1 - 0,871
Election Day,ED-Cartersville West ICP 2 - 0,868
Election Day,ED-Taylorsville ICP 1 - 0,1091
Absentee by Mail,ICC - Absentee By Mail - 36,3
Provisional,ICC - Provisional - 1,12
