Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee by Mail - 1,50
Absentee by Mail,ICC - Absentee by Mail - 2,50
Absentee by Mail,ICC - Absentee by Mail - 3,50
Absentee by Mail,ICC - Absentee by Mail - 4,50
Absentee by Mail,ICC - Absentee by Mail - 5,50
Absentee by Mail,ICC - Absentee by Mail - 6,50
Absentee by Mail,ICC - Absentee by Mail - 7,50
Absentee by Mail,ICC - Absentee by Mail - 8,50
Absentee by Mail,ICC - Absentee by Mail - 9,50
Absentee by Mail,ICC - Absentee by Mail - 10,50
Absentee by Mail,ICC - Absentee by Mail - 11,50
Absentee by Mail,ICC - Absentee by Mail - 12,50
Absentee by Mail,ICC - Absentee by Mail - 13,50
Absentee by Mail,ICC - Absentee by Mail - 14,50
Absentee by Mail,ICC - Absentee by Mail - 15,50
Absentee by Mail,ICC - Absentee by Mail - 16,50
Absentee by Mail,ICC - Absentee by Mail - 17,50
Absentee by Mail,ICC - Absentee by Mail - 18,39
Advance Voting,AV-Elections Office - ICP 1 - 0,4455
Advance Voting,AV-Elections Office - ICP 2 - 0,3280
Elections Day,ED-N Milledgeville ICP 1 - 0,428
Elections Day,ED-W Baldwin ICP 1 - 0,439
Elections Day,ED-Meriwether ICP 1 - 0,633
Elections Day,ED-Coopers ICP 1 - 0,479
Elections Day,ED-Boddie ICP 1 - 0,157
Elections Day,ED-W Hardwick ICP 1 - 0,491
Elections Day,ED-S Milledgeville ICP 1 - 0,173
Elections Day,ED-W Thomas ICP 1 - 0,197
Elections Day,ED-N Baldwin ICP 1 - 0,755
Elections Day,ED-Scottboro ICP 1 - 0,282
Elections Day,ED-Courthouse ICP 1 - 0,47
Elections Day,ED-E Baldwin ICP 1 - 0,834
Elections Day,ED-City Hall Annex ICP 1 - 0,121
Elections Day,ED-E Hardwick ICP 1 - 0,222
