Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 1,50
Absentee by Mail,ICC - Absentee By Mail - 2,50
Absentee by Mail,ICC - Absentee By Mail - 3,50
Absentee by Mail,ICC - Absentee By Mail - 4,50
Absentee by Mail,ICC - Absentee By Mail - 5,50
Absentee by Mail,ICC - Absentee By Mail - 6,50
Absentee by Mail,ICC - Absentee By Mail - 7,50
Absentee by Mail,ICC - Absentee By Mail - 8,50
Absentee by Mail,ICC - Absentee By Mail - 9,50
Absentee by Mail,ICC - Absentee By Mail - 10,50
Absentee by Mail,ICC - Absentee By Mail - 11,50
Absentee by Mail,ICC - Absentee By Mail - 12,50
Absentee by Mail,ICC - Absentee By Mail - 13,50
Absentee by Mail,ICC - Absentee By Mail - 14,50
Absentee by Mail,ICC - Absentee By Mail - 15,50
Absentee by Mail,ICC - Absentee By Mail - 16,50
Absentee by Mail,ICC - Absentee By Mail - 17,50
Absentee by Mail,ICC - Absentee By Mail - 18,50
Absentee by Mail,ICC - Absentee By Mail - 19,50
Absentee by Mail,ICC - Absentee By Mail - 20,50
Absentee by Mail,ICC - Absentee By Mail - 21,50
Absentee by Mail,ICC - Absentee By Mail - 22,38
Absentee by Mail,ICC - Absentee By Mail - 23,22
Advanced Voting,AV-County Gvmt Center ICP 1 - 0,8777
Absentee by Mail,ICC - Absentee By Mail - 24,24
Election Day,ED-Northside ICP 1 - 0,580
Election Day,ED-Hammett Rd ICP 1 - 0,891
Election Day,ED-Gardner Newman ICP 1 - 0,678
Election Day,ED-Griggs Center ICP 1 - 0,389
Election Day,ED-Long Cane ICP 1 - 0,1048
Election Day,ED-East Vernon ICP 1 - 0,1031
Election Day,ED-Hollis Hand ICP 1 - 0,910
Election Day,ED-Rosemont ICP 1 - 0,1227
Election Day,ED-Highland ICP 1 - 0,331
Election Day,ED-McLendon ICP 1 - 0,1075
Election Day,ED-Gray Hill ICP 1 - 0,661
Election Day,ED-Administration Bldg ICP 1 - 0,531
Election Day,ED-West Point ICP 1 - 0,577
Election Day,ED-Hogansville ICP 1 - 0,1261
Provisional,ICC - Provisional - 1,15
