Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail 1 - 1,50
Absentee by Mail,ICC - Absentee By Mail 1 - 2,50
Absentee by Mail,ICC - Absentee By Mail 1 - 3,50
Absentee by Mail,ICC - Absentee By Mail 1 - 4,50
Absentee by Mail,ICC - Absentee By Mail 1 - 5,49
Absentee by Mail,ICC - Absentee By Mail 1 - 6,46
Absentee by Mail,ICC - Absentee By Mail 1 - 7,49
Absentee by Mail,ICC - Absentee By Mail 1 - 8,10
Absentee by Mail,ICC - Absentee By Mail 1 - 9,50
Absentee by Mail,ICC - Absentee By Mail 1 - 10,49
Absentee by Mail,ICC - Absentee By Mail 1 - 11,48
Absentee by Mail,ICC - Absentee By Mail 1 - 12,52
Absentee by Mail,ICC - Absentee By Mail 1 - 13,49
Absentee by Mail,ICC - Absentee By Mail 1 - 14,50
Absentee by Mail,ICC - Absentee By Mail 1 - 15,50
Absentee by Mail,ICC - Absentee By Mail 1 - 16,49
Absentee by Mail,ICC - Absentee By Mail 1 - 17,47
Absentee by Mail,ICC - Absentee By Mail 1 - 18,49
Absentee by Mail,ICC - Absentee By Mail 1 - 19,34
Absentee by Mail,ICC - Absentee By Mail 1 - 20,35
Absentee by Mail,ICC - Absentee By Mail 1 - 21,49
Absentee by Mail,ICC - Absentee By Mail 1 - 22,50
Absentee by Mail,ICC - Absentee By Mail 1 - 23,50
Absentee by Mail,ICC - Absentee By Mail 1 - 24,47
Absentee by Mail,ICC - Absentee By Mail 1 - 25,49
Absentee by Mail,ICC - Absentee By Mail 2 - 1,50
Absentee by Mail,ICC - Absentee By Mail 1 - 26,37
Absentee by Mail,ICC - Absentee By Mail 2 - 2,32
Absentee by Mail,ICC - Absentee By Mail 2 - 3,49
Absentee by Mail,ICC - Absentee By Mail 2 - 4,34
Absentee by Mail,ICC - Absentee By Mail 2 - 5,49
Absentee by Mail,ICC - Absentee By Mail 2 - 6,5
Absentee by Mail,ICC - Absentee By Mail 2 - 7,37
Absentee by Mail,ICC - Absentee By Mail 2 - 8,19
Absentee by Mail,ICC - Absentee By Mail 1 - 27,46
Absentee by Mail,ICC - Absentee By Mail 2 - 9,49
Absentee by Mail,ICC - Absentee By Mail 1 - 28,31
Absentee by Mail,ICC - Absentee By Mail 2 - 10,50
Absentee by Mail,ICC - Absentee By Mail 1 - 29,28
Absentee by Mail,ICC - Absentee By Mail 2 - 11,50
Absentee by Mail,ICC - Absentee By Mail 2 - 12,47
Absentee by Mail,ICC - Absentee By Mail 1 - 30,49
Absentee by Mail,ICC - Absentee By Mail 1 - 31,49
Absentee by Mail,ICC - Absentee By Mail 2 - 13,13
Absentee by Mail,ICC - Absentee By Mail 1 - 32,50
Absentee by Mail,ICC - Absentee By Mail 2 - 14,49
Absentee by Mail,ICC - Absentee By Mail 1 - 33,43
Absentee by Mail,ICC - Absentee By Mail 2 - 15,18
Absentee by Mail,ICC - Absentee By Mail 1 - 34,50
Absentee by Mail,ICC - Absentee By Mail 2 - 16,49
Absentee by Mail,ICC - Absentee By Mail 1 - 35,50
Absentee by Mail,ICC - Absentee By Mail 2 - 17,21
Absentee by Mail,ICC - Absentee By Mail 2 - 18,50
Absentee by Mail,ICC - Absentee By Mail 1 - 36,40
Absentee by Mail,ICC - Absentee By Mail 2 - 19,23
Absentee by Mail,ICC - Absentee By Mail 2 - 20,19
Absentee by Mail,ICC - Absentee By Mail 2 - 21,48
Absentee by Mail,ICC - Absentee By Mail 2 - 22,40
Absentee by Mail,ICC - Absentee By Mail 2 - 23,50
Absentee by Mail,ICC - Absentee By Mail 1 - 37,47
Absentee by Mail,ICC - Absentee By Mail 2 - 24,9
Absentee by Mail,ICC - Absentee By Mail 2 - 25,50
Absentee by Mail,ICC - Absentee By Mail 1 - 38,50
Absentee by Mail,ICC - Absentee By Mail 2 - 26,49
Absentee by Mail,ICC - Absentee By Mail 1 - 39,11
Absentee by Mail,ICC - Absentee By Mail 1 - 40,50
Absentee by Mail,ICC - Absentee By Mail 1 - 41,49
Absentee by Mail,ICC - Absentee By Mail 1 - 42,50
Absentee by Mail,ICC - Absentee By Mail 1 - 43,16
Absentee by Mail,ICC - Absentee By Mail 1 - 44,35
Absentee by Mail,ICC - Absentee By Mail 1 - 45,34
Absentee by Mail,ICC - Absentee By Mail 2 - 27,44
Absentee by Mail,ICC - Absentee By Mail 1 - 46,50
Absentee by Mail,ICC - Absentee By Mail 1 - 47,50
Absentee by Mail,ICC - Absentee By Mail 2 - 28,50
Absentee by Mail,ICC - Absentee By Mail 1 - 48,42
Absentee by Mail,ICC - Absentee By Mail 2 - 29,28
Absentee by Mail,ICC - Absentee By Mail 2 - 30,14
Absentee by Mail,ICC - Absentee By Mail 2 - 31,39
Absentee by Mail,ICC - Absentee By Mail 2 - 32,13
Absentee by Mail,ICC - Absentee By Mail 2 - 33,52
Absentee by Mail,ICC - Absentee By Mail 2 - 34,18
Absentee by Mail,ICC - Absentee By Mail 2 - 35,21
Absentee by Mail,ICC - Absentee By Mail 2 - 36,11
Absentee by Mail,ICC - Absentee By Mail 2 - 37,17
Absentee by Mail,ICC - Absentee By Mail 2 - 38,28
Absentee by Mail,ICC - Absentee By Mail 2 - 39,34
Absentee by Mail,ICC - Absentee By Mail 2 - 40,27
Absentee by Mail,ICC - Absentee By Mail 2 - 41,5
Advance Voting,Theron Ussery 2 - 0,2747
Advance Voting,Theron Ussery - 0,3188
Advance Voting,AV - Elections Office ICP 1 - 0,3537
Advance Voting,AV - Elections Office ICP 3 - 0,2887
Advance Voting,AV - Elections Office ICP 2 - 0,3539
Election Day,ED - Godfrey 2 ICP 2 - 0,64
Election Day,ED - Godfrey 2 ICP 1 - 0,290
Election Day,ED - Warrior 2 ICP 2 - 0,700
Election Day,ED - Warrior 2 ICP 1 - 0,540
Election Day,ED - Rutland 2 ICP 2 - 0,669
Election Day,ED - Rutland 2 ICP 1 - 0,669
Election Day,ED - Godfrey 5 ICP 1 - 0,513
Election Day,ED - Godfrey 5 ICP 2 - 0,521
Election Day,ED - Vineville 4 ICP 2 - 0,454
Election Day,ED - Vineville 4 ICP 1 - 0,452
Election Day,ED - Vineville 3 ICP 1 - 0,219
Absentee by Mail,ICC - Absentee By Mail 2 - 42,12
Election Day,ED - Vineville 3 ICP 2 - 0,362
Absentee by Mail,ICC - Absentee By Mail 2 - 43,24
Absentee by Mail,ICC - Absentee By Mail 2 - 44,22
Absentee by Mail,ICC - Absentee By Mail 2 - 45,16
Absentee by Mail,ICC - Absentee By Mail 2 - 46,12
Absentee by Mail,ICC - Absentee By Mail 2 - 47,16
Absentee by Mail,ICC - Absentee By Mail 2 - 48,4
Election Day,ED - Vineville 5 ICP 2 - 0,377
Absentee by Mail,ICC - Absentee By Mail 2 - 49,7
Election Day,ED - Vineville 5 ICP 1 - 0,377
Election Day,ED - Howard 5 ICP 2 - 0,260
Absentee by Mail,ICC - Absentee By Mail 2 - 50,6
Election Day,ED - Howard 5 ICP 1 - 0,355
Election Day,ED - Warrior 1 ICP 1 - 0,1086
Absentee by Mail,ICC - Absentee By Mail 2 - 51,40
Election Day,ED - Warrior 1 ICP 2 - 0,55
Election Day,ED - Hazzard 3 ICP 2 - 0,832
Absentee by Mail,ICC - Absentee By Mail 2 - 52,28
Election Day,ED - Hazzard 3 ICP 1 - 0,788
Absentee by Mail,ICC - Absentee By Mail 2 - 53,14
Absentee by Mail,ICC - Absentee By Mail 2 - 54,17
Election Day,ED - Hazzard 1 ICP 1 - 0,220
Election Day,ED - Hazzard 1 ICP 2 - 0,480
Election Day,ED - Howard 6 ICP 1 - 0,321
Election Day,ED - Howard 6 ICP 2 - 0,315
Election Day,ED - Howard 4 ICP 2 - 0,162
Election Day,ED - Howard 4 ICP 1 - 0,262
Absentee by Mail,ICC - Absentee By Mail 2 - 55,57
Election Day,ED - Godfrey 3 ICP 1 - 0,302
Election Day,ED - Godfrey 3 ICP 2 - 0,290
Election Day,ED - Vineville 1 ICP 2 - 0,438
Election Day,ED - Vineville 1 ICP 1 - 0,440
Election Day,ED - Vineville 2 ICP 1 - 0,244
Election Day,ED - Vineville 2 ICP 2 - 0,245
Election Day,ED - Vineville 6 ICP 2 - 0,455
Election Day,ED - Vineville 6 ICP 1 - 0,456
Election Day,ED - East Macon 1 ICP 1 - 0,163
Election Day,ED - East Macon 5 ICP 2 - 0,359
Election Day,ED - East Macon 5 ICP 1 - 0,359
Election Day,ED - East Macon 2 ICP 1 - 0,376
Election Day,ED - East Macon 2 ICP 2 - 0,374
Election Day,ED - East Macon 4 ICP 1 - 0,300
Election Day,ED - East Macon 4 ICP 2 - 0,299
Election Day,ED - East Macon 3 ICP 1 - 0,401
Election Day,ED - East Macon 3 ICP 2 - 0,415
Election Day,ED - Howard 3 ICP 1 - 0,978
Election Day,ED - Howard 3 ICP 2 - 0,916
Election Day,ED - Howard 7 ICP 2 - 0,547
Election Day,ED - Howard 7 ICP 1 - 0,547
Election Day,ED - Howard 2 ICP 1 - 0,712
Election Day,ED - Howard 2 ICP 2 - 0,543
Election Day,ED - Hazzard 2 ICP 1 - 0,509
Election Day,ED - Hazzard 2 ICP 2 - 0,865
Election Day,ED - Howard 1 ICP 2 - 0,459
Election Day,ED - Howard 1 ICP 1 - 0,739
Election Day,ED - Hazzard 4 ICP 1 - 0,920
Election Day,ED - Hazzard 4 ICP 2 - 0,903
Election Day,ED - Rutland 1 ICP 2 - 0,1046
Election Day,ED - Rutland 1 ICP 1 - 0,1200
Election Day,ED - Godfrey 4 ICP 1 - 0,2
Election Day,ED - Godfrey 4 ICP 2 - 0,328
Election Day,ED - Godfrey 1 ICP 1 - 0,412
Election Day,ED - Godfrey 1 ICP 2 - 0,601
Provisional,ICC - Provisional - 1,74
Absentee by Mail,ICC - Absentee By Mail 1 - 49,14
Absentee by Mail,ICC - Absentee By Mail 1 - 50,40
Absentee by Mail,ICC - Absentee By Mail 1 - 51,2
Election Day,ED - East Macon 1 ICP 2 - 0,167
