Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,100
Absentee by Mail,Absentee By Mail ICC - 2,100
Absentee by Mail,Absentee By Mail ICC - 3,100
Absentee by Mail,Absentee By Mail ICC - 4,100
Absentee by Mail,Absentee By Mail ICC - 5,99
Absentee by Mail,Absentee By Mail ICC - 6,90
Absentee by Mail,Absentee By Mail ICC - 7,100
Absentee by Mail,Absentee By Mail ICC - 8,50
Absentee by Mail,Absentee By Mail ICC - 9,100
Absentee by Mail,Absentee By Mail ICC - 10,100
Absentee by Mail,Absentee By Mail ICC - 11,100
Absentee by Mail,Absentee By Mail ICC - 12,98
Absentee by Mail,Absentee By Mail ICC - 13,20
Advance Voting,AV-Elections Office ICP 1 - 0,4075
Advance Voting,AV-Elections Office ICP 2 - 0,6101
Advance Voting,AV-Elections Office ICP 3 - 0,3537
Advance Voting,AV-Elections Office ICP 4 - 0,2263
Advance Voting,AV-Elections Office ICP 5 - 0,1814
Election Day,ED-Rainwater ICP 5 - 0,637
Election Day,ED-Rainwater ICP 6 - 0,426
Election Day,ED-Pine Grove ICP 1 - 0,224
Election Day,ED-Jaycee ICP 1 - 0,217
Election Day,ED-Train Depot ICP 2 - 0,529
Election Day,ED-Train Depot ICP 1 - 0,332
Election Day,ED-Trinity ICP 1 - 0,268
Election Day,ED-Trinity ICP 2 - 0,265
Election Day,ED-Hahira Community Center ICP 1 - 0,351
Election Day,ED-Nazarene ICP 1 - 0,902
Election Day,ED-VSU ICP 1 - 0,25
Election Day,ED-Dasher ICP 1 - 0,690
Election Day,ED-Historical Society ICP 1 - 0,456
Election Day,ED-Mildred ICP 1 - 0,308
Election Day,ED-Lake Park ICP 1 - 0,959
Election Day,ED-Papermill ICP 1 - 0,644
Election Day,ED-Naylor ICP 1 - 0,424
Election Day,ED-Rainwater ICP 2 - 0,244
Election Day,ED-Rainwater ICP 1 - 0,334
Election Day,ED-Rainwater ICP 3 - 0,930
Election Day,ED-Mathis ICP 1 - 0,834
Election Day,ED-Mathis ICP 2 - 0,473
Election Day,ED-Mathis ICP 3 - 0,297
Election Day,ED-South Lowndes ICP 1 - 0,609
Election Day,ED-Lowndes Civic ICP 4 - 0,872
Election Day,ED-Lowndes Civic ICP 1 - 0,145
Election Day,ED-Mt. Calvary ICP 1 - 0,193
Absentee by Mail,Absentee By Mail ICC - 14,3
Provisional,Provisional ICC - 1,2
Provisional,Provisional ICC - 2,32
Provisional,Provisional ICC - 3,19
Absentee by Mail,Absentee By Mail ICC - 15,5
Absentee by Mail,Absentee By Mail ICC - 16,2
