Container,Batch Name,Number of Ballots
Absentee by Mail,ICC-Absentee by Mail - 1,18
Absentee by Mail,ICC-Absentee by Mail - 2,24
Absentee by Mail,ICC-Absentee by Mail - 3,35
Absentee by Mail,ICC-Absentee by Mail - 4,12
Absentee by Mail,ICC-Absentee by Mail - 5,4
Absentee by Mail,ICC-Absentee by Mail - 6,12
Absentee by Mail,ICC-Absentee by Mail - 7,7
Absentee by Mail,ICC-Absentee by Mail - 8,14
Absentee by Mail,ICC-Absentee by Mail - 9,13
Absentee by Mail,ICC-Absentee by Mail - 10,40
Absentee by Mail,ICC-Absentee by Mail - 11,29
Absentee by Mail,ICC-Absentee by Mail - 12,17
Absentee by Mail,ICC-Absentee by Mail - 13,37
Absentee by Mail,ICC-Absentee by Mail - 14,31
Absentee by Mail,ICC-Absentee by Mail - 15,42
Absentee by Mail,ICC-Absentee by Mail - 16,29
Absentee by Mail,ICC-Absentee by Mail - 17,10
Advance Voting,AV-Elections Office ICP 1 - 0,3074
Absentee by Mail,ICC-Absentee by Mail - 18,3
Election Day,ED-Senior Citizen Bldg ICP 1 - 0,267
Election Day,ED-LCSC ICP 1 - 0,814
Election Day,ED-Redbone ICP 1 - 0,291
Election Day,ED-Chappell Mill V. FD ICP 1 - 0,583
Election Day,ED-Barnesville ICP 1 - 0,418
Election Day,ED-Milner ICP 1 - 0,1099
Absentee by Mail,ICC-Absentee by Mail - 19,2
Provisional,ICC-Provisional - 1,3
