Container,Batch Name,Number of Ballots
Absentee by Mail,ICC - Absentee By Mail - 3,2
Absentee by Mail,ICC - Absentee By Mail - 1,46
Absentee by Mail,ICC - Absentee By Mail - 4,11
Absentee by Mail,ICC - Absentee By Mail - 2,37
Absentee by Mail,ICC - Absentee By Mail - 6,17
Absentee by Mail,ICC - Absentee By Mail - 5,44
Absentee by Mail,ICC - Absentee By Mail - 7,32
Absentee by Mail,ICC - Absentee By Mail - 8,28
Absentee by Mail,ICC - Absentee By Mail - 9,7
Absentee by Mail,ICC - Absentee By Mail - 12,20
Absentee by Mail,ICC - Absentee By Mail - 11,50
Absentee by Mail,ICC - Absentee By Mail - 10,27
Absentee by Mail,ICC - Absentee By Mail - 13,49
Absentee by Mail,ICC - Absentee By Mail - 17,24
Absentee by Mail,ICC - Absentee By Mail - 16,20
Absentee by Mail,ICC - Absentee By Mail - 15,23
Absentee by Mail,ICC - Absentee By Mail - 14,50
Absentee by Mail,ICC - Absentee By Mail - 18,7
Absentee by Mail,ICC - Absentee By Mail - 27,3
Absentee by Mail,ICC - Absentee By Mail - 19,45
Absentee by Mail,ICC - Absentee By Mail - 28,1
Absentee by Mail,ICC - Absentee By Mail - 29,6
Absentee by Mail,ICC - Absentee By Mail - 30,4
Absentee by Mail,ICC - Absentee By Mail - 26,1
Absentee by Mail,ICC - Absentee By Mail - 25,36
Absentee by Mail,ICC - Absentee By Mail - 24,33
Absentee by Mail,ICC - Absentee By Mail - 20,11
Absentee by Mail,ICC - Absentee By Mail - 21,12
Absentee by Mail,ICC - Absentee By Mail - 22,31
Absentee by Mail,ICC - Absentee By Mail - 23,29
Absentee by Mail,ICC - Absentee By Mail - 31,15
Absentee by Mail,ICC - Absentee By Mail - 43,4
Absentee by Mail,ICC - Absentee By Mail - 32,38
Absentee by Mail,ICC - Absentee By Mail - 42,28
Absentee by Mail,ICC - Absentee By Mail - 44,5
Absentee by Mail,ICC - Absentee By Mail - 45,5
Absentee by Mail,ICC - Absentee By Mail - 46,10
Absentee by Mail,ICC - Absentee By Mail - 48,3
Absentee by Mail,ICC - Absentee By Mail - 47,38
Absentee by Mail,ICC - Absentee By Mail - 41,12
Absentee by Mail,ICC - Absentee By Mail - 40,8
Absentee by Mail,ICC - Absentee By Mail - 34,16
Absentee by Mail,ICC - Absentee By Mail - 33,12
Absentee by Mail,ICC - Absentee By Mail - 35,38
Absentee by Mail,ICC - Absentee By Mail - 36,8
Absentee by Mail,ICC - Absentee By Mail - 37,2
Absentee by Mail,ICC - Absentee By Mail - 39,1
Absentee by Mail,ICC - Absentee By Mail - 38,5
Absentee by Mail,ICC - Absentee By Mail - 49,6
Absentee by Mail,ICC - Absentee By Mail - 53,6
Absentee by Mail,ICC - Absentee By Mail - 60,33
Absentee by Mail,ICC - Absentee By Mail - 52,6
Absentee by Mail,ICC - Absentee By Mail - 51,6
Absentee by Mail,ICC - Absentee By Mail - 54,6
Absentee by Mail,ICC - Absentee By Mail - 55,22
Absentee by Mail,ICC - Absentee By Mail - 56,8
Absentee by Mail,ICC - Absentee By Mail - 59,32
Absentee by Mail,ICC - Absentee By Mail - 58,1
Absentee by Mail,ICC - Absentee By Mail - 57,6
Absentee by Mail,ICC - Absentee By Mail - 50,16
Absentee by Mail,ICC - Absentee By Mail - 61,46
Absentee by Mail,ICC - Absentee By Mail - 63,45
Absentee by Mail,ICC - Absentee By Mail - 62,35
Absentee by Mail,ICC - Absentee By Mail - 64,41
Absentee by Mail,ICC - Absentee By Mail - 65,1
Election Day,ED-West Lindale ICP 1 - 0,861
Election Day,ED-South Rome ICP 1 - 0,317
Election Day,ED-Fosters Mill ICP 1 - 0,430
Election Day,ED-East Rome ICP 1 - 0,838
Election Day,ED-Town Rome ICP 1 - 0,627
Election Day,ED-North Rome ICP 1 - 0,660
Election Day,ED-Etowah ICP 1 - 0,1405
Election Day,ED-Chulio ICP 1 - 0,469
Election Day,ED-Glenwood ICP 1 - 0,974
Election Day,ED-Vanns Valley ICP 1 - 0,244
Election Day,ED-Alto Park ICP 1 - 0,893
Election Day,ED-Riverside ICP 1 - 0,322
Election Day,ED-Mt Alto North ICP 1 - 0,814
Election Day,ED-Garden Lakes ICP 1 - 0,430
Election Day,ED-North Carolina ICP 1 - 0,527
Election Day,ED-Cave Spring ICP 1 - 0,660
Election Day,ED-Everett Springs ICP 1 - 0,196
Election Day,ED-Watters ICP 1 - 0,1146
Election Day,ED-Texas Valley ICP 1 - 0,364
Election Day,ED-Barkers ICP 1 - 0,722
Election Day,ED-Howell ICP 1 - 0,649
Election Day,ED-Floyd Springs ICP 1 - 0,738
Election Day,ED-Armuchee ICP 1 - 0,543
Election Day,ED-Mt Alto South ICP 1 - 0,944
Absentee by Mail,ICC - Absentee By Mail - 66,20
Election Day,ED-East Lindale ICP 1 - 0,898
Advanced Voting,AV-Site 1 ICP 1 - 0,5939
Advanced Voting,AV-Site 2 ICP 1 - 0,4415
Absentee by Mail,ICC - Absentee By Mail - 67,19
Provisional,ICC - Provisional - 1,23
