Container,Batch Name,Number of Ballots
Absentee by Mail,Absentee By Mail ICC - 1,50
Absentee by Mail,Absentee By Mail ICC - 2,50
Absentee by Mail,Absentee By Mail ICC - 3,50
Absentee by Mail,Absentee By Mail ICC - 4,50
Absentee by Mail,Absentee By Mail ICC - 5,50
Absentee by Mail,Absentee By Mail ICC - 6,4
Absentee by Mail,Absentee By Mail ICC - 7,50
Absentee by Mail,Absentee By Mail ICC - 9,50
Absentee by Mail,Absentee By Mail ICC - 8,50
Absentee by Mail,Absentee By Mail ICC - 10,50
Advance Voting,AV-Elections Office ICP 1 - 0,3293
Election Day,ED-Blowing Cave ICP 1 - 0,400
Election Day,ED-Higdon ICP 1 - 0,470
Election Day,ED-Midway ICP 1 - 0,462
Election Day,ED-Pine Park ICP 1 - 0,268
Election Day,ED-Cairo 5th District ICP 1 - 0,472
Election Day,ED-Woodland ICP 1 - 0,525
Election Day,ED-Cairo 4th District ICP 1 - 0,394
Election Day,ED-Spence ICP 1 - 0,252
Election Day,ED-Whigham ICP 1 - 0,534
Absentee by Mail,Absentee By Mail ICC - 11,2
Provisional,Provisional ICC - 1,3
