Container,Batch Name,Number of Ballots
Advance Voting,AV-Elections Office ICP 1 - 0,5665
Advance Voting,AV-Elections Office ICP 2 - 0,5665
Absentee by Mail,ICC-Absentee by Mail - 1,50
Absentee by Mail,ICC-Absentee by Mail - 9,49
Absentee by Mail,ICC-Absentee by Mail - 16,50
Absentee by Mail,ICC-Absentee by Mail - 17,50
Absentee by Mail,ICC-Absentee by Mail - 18,49
Absentee by Mail,ICC-Absentee by Mail - 19,30
Absentee by Mail,ICC-Absentee by Mail - 15,50
Absentee by Mail,ICC-Absentee by Mail - 14,50
Absentee by Mail,ICC-Absentee by Mail - 10,50
Absentee by Mail,ICC-Absentee by Mail - 11,50
Absentee by Mail,ICC-Absentee by Mail - 12,50
Absentee by Mail,ICC-Absentee by Mail - 13,50
Absentee by Mail,ICC-Absentee by Mail - 2,50
Absentee by Mail,ICC-Absentee by Mail - 20,50
Absentee by Mail,ICC-Absentee by Mail - 21,50
Absentee by Mail,ICC-Absentee by Mail - 5,50
Absentee by Mail,ICC-Absentee by Mail - 6,50
Absentee by Mail,ICC-Absentee by Mail - 7,50
Absentee by Mail,ICC-Absentee by Mail - 8,50
Absentee by Mail,ICC-Absentee by Mail - 4,50
Absentee by Mail,ICC-Absentee by Mail - 3,50
Absentee by Mail,ICC-Absentee by Mail - 22,50
Absentee by Mail,ICC-Absentee by Mail - 23,50
Absentee by Mail,ICC-Absentee by Mail - 24,11
Absentee by Mail,ICC-Absentee by Mail - 25,34
Absentee by Mail,ICC-Absentee by Mail - 26,1
Election Day,ED-04 ICP 1 - 0,796
Election Day,ED-13 ICP 1 - 0,1962
Election Day,ED-08 ICP 1 - 0,1596
Election Day,ED-01 ICP 1 - 0,935
Election Day,ED-03 ICP 1 - 0,1642
Election Day,ED-05 ICP 1 - 0,2172
Election Day,ED-16 ICP 1 - 0,1947
Election Day,ED-02 ICP 1 - 0,1846
Absentee by Mail,ICC-Absentee by Mail - 27,4
